Asignatura;Identificador;TituloIndice;Enunciado;Opciones;RespuestaCorrecta;Comentario;Anulada;Imagen;Dificultad
ANATOMIA;MIR 2013-14, P212;1. Neuroanatomía;Si un paciente presenta una parálisis facial que no afecta a la musculatura de la frente debemos pensar que la lesión se encuentra:;1. A nivel supranuclear. | 2. En el ganglio geniculado. | 3. En el foramen estilomastoideo. | 4. En el ángulo pontocerebeloso. | 5. En el conducto auditivo interno.;1;--;NO;--;FACIL
ANATOMIA;MIR 2011-12, P77;1. Neuroanatomía;Indique qué arteria es la afectada en un paciente diestro que, por un accidente cerebro-vascular, sufre trastornos motores, sensitivos y afasia:;1. Cerebral anterior derecha. | 2. Cerebral media derecha. | 3. Cerebral media izquierda. | 4. Cerebral anterior izquierda. | 5. Cerebral posterior.;3;--;NO;--;FACIL
ANATOMIA;MIR 2011-12, P224;1. Neuroanatomía;Conociendo la función de las estructuras relacionadas con la percepción del dolor y asumiendo que la estimulación eléctrica puede bloquear la transmisión del dolor, ¿qué estructura no debería ser estimulada eléctricamente para el tratamiento del dolor?;1. Corteza sensorial primaria. | 2. Núcleos intralaminares del tálamo. | 3. Sustancia gris periacueductal/periventricular. | 4. Columnas dorsales de la médula espinal. | 5. Estimulación eléctrica transcutánea de aferencias primarias de bajo umbral.;1;--;NO;--;FACIL
ANATOMIA;MIR 2010-11, P218;1. Neuroanatomía;"Durante una intervención neuroquirúrgica la estimulación eléctrica cortical directa produjo un ""movimiento de prensión de ambas manos"". ¿Qué área cortical estimulada eléctricamente produce esta respuesta?";1. Área motora primaria. | 2. Área motora secundaria. | 3. Área premotora. | 4. Área motora suplementaria. | 5. Área parietal de asociación.;4;--;NO;--;FACIL
ANATOMIA;MIR 2010-11, P219;1. Neuroanatomía;Una mujer de 42 años con cáncer de mama presenta metástasis a nivel de los agujeros intervertebrales entre la 4º y 5º vértebras cervicales y entre la 4º y 5º vértebras torácicas. ¿Qué nervios espinales estarán lesionados?;1. Cuarto nervio cervical y cuarto torácico | 2. Quinto nervio cervical y quinto torácico | 3. Cuarto nervio cervical y quinto torácico | 4. Quinto nervio cervical y cuarto torácico | 5. Tercer nervio cervical y cuarto torácico;4;--;NO;--;FACIL
ANATOMIA;MIR 2009-10, P222;1. Neuroanatomía;Una lesión periférica del III par craneal, nervio Oculomotor (Motor Ocular Común) suele llevar consigo alteración de sus fibras motoras viscerales (parasimpáticas) al que están asociadas. Si estas fibras se lesionan, el paciente manifiesta alteraciones que afectan a los reflejos oculares. De las respuestas dadas a continuación sólo una es verdadera. ¿Cuál es?:;1. Presenta pupila contraída (en miosis) y conservado el reflejo de acomodación. | 2. Su pupila está contraída (en miosis) y abolido el reflejo de acomodación. | 3. Se encuentra dilatada su pupila (en midriasis) fija y conservado el reflejo de acomodación. | 4. Presenta pupila dilatada (en midriasis) fija y abolido el reflejo de acomodación. | 5. Su pupila no está fija (a veces dilatada y a veces contraída) y el reflejo de la acomodación es normal.;4;--;NO;--;MEDIO
ANATOMIA;MIR 2009-10, P224;1. Neuroanatomía;El “brazo posterior de la cápsula interna” contiene fibras de proyección de naturaleza motora y fibras de conexión o radiaciones talámicas, de naturaleza sensitiva. ¿Qué fibras de las citadas a continuación se localizan en este “brazo posterior”?:;1. Fibras córtico putaminales. | 2. Fibras de las radiaciones talámicas anteriores. | 3. Fibras fronto pónticas. | 4. Fibras córtico espinales. | 5. Fibras córtico nucleares.;4;--;NO;--;FACIL
ANATOMIA;MIR 2008-09, P239;1. Neuroanatomía;¿Dónde se origina la arteria coroidea anterior?:;1. Arteria carótida común. | 2. Arteria carótida interna. | 3. Arteria cerebral media. | 4. Arteria cerebral anterior. | 5. Arteria comunicante posterior.;2;--;NO;--;FACIL
ANATOMIA;MIR 2007-08, P239;1. Neuroanatomía;Indique qué estructura nerviosa más frecuentemente puede ser lesionada ante un paciente con lesión inciso-contusa en región preauricular derecha:;1. Nervio hipogloso derecho. | 2. Nervio glosofaríngeo derecho. | 3. Nervio neumogástrico derecho. | 4. Nervio facial derecho. | 5. Nervio estatoacústico derecho.;4;--;NO;--;FACIL
ANATOMIA;MIR 2003-04, P155;1. Neuroanatomía;Junto con las fibras motoras que configura el nervio Motor Ocular Común, se encuentran fibras del Sistema Nervioso Autónomo de naturaleza parasimpática. ¿En qué ganglio terminan las fibras preganglionares parasimpáticas?:;1. Otico. | 2. Pterigo-palatino. | 3. De Gasser. | 4. Ciliar. | 5. Submandibular.;4;--;NO;--;FACIL
ANATOMIA;MIR 2003-04, P156;1. Neuroanatomía;Uno de los siguientes NO es un derivado de la cresta neural:;1. Neuronas de Purkinje del cerebelo. | 2. Neuronas de los ganglios raquídeos (DRG). | 3. Melanocitos de la piel. | 4. La médula adrenal. | 5. Células secretoras de calcitonina.;1;--;NO;--;FACIL
ANATOMIA;MIR 2002-03, P141;1. Neuroanatomía;¿Cuál de las siguientes estructuras NO tiene relación directa con el seno cavernoso?:;1. Nervio Oculomotor Común (III par). | 2. Nervio Troclear (IV par). | 3. Arteria Carótida. | 4. Nervio Abducens (VI par). | 5. Rama mandibular del nervio Trigémino (V3).;5;--;NO;--;FACIL
ANATOMIA;MIR 2002-03, P151;1. Neuroanatomía;Indique la afirmación correcta sobre las meninges:;1. El espacio epidural comunica con el cuarto ventrículo por los orificios de Luschka y Magendi. | 2. Los senos venosos se forman por desdoblamientos de la pirámide. | 3. La aracnoides está adherida directamente a la tabla interna del cráneo. | 4. El líquido cefalorraquídeo circula por el espacio subaracnoideo. | 5. El espacio subdural se encuentra profundo a la aracnoides.;4;--;NO;--;FACIL
ANATOMIA;MIR 2000-01, P1001;1. Neuroanatomía;F, P 209. Señale cuál de las siguientes afirmaciones sobre la topografía encefálica NO es correcta:;1. La cápsula extrema se sitúa entre el claustrum o antemuro y la corteza del lóbulo de la ínsula. | 2. El núcleo tálamo óptico se sitúa lateralmente o externo al núcleo caudado. | 3. La cápsula externa se sitúa por fuera del núcleo putamen. | 4. El tálamo óptico forma parte del suelo del ventrículo lateral. | 5. La cápsula interna se sitúa entre los núcleos caudado y lenticular.;2;--;NO;--;FACIL
ANATOMIA;MIR 2000-01, P1002;1. Neuroanatomía;F, P 208. Señale la respecto al nervio de la cuerda del tímpano:;1. Es una rama del VII par craneal, que nace en el ganglio geniculado. | 2. Es una rama del V par craneal, que inerva el músculo del estribo. | 3. Es una rama del VII par craneal, que inerva el músculo del estribo. | 4. Es una rama intrapetrosa del VII par craneal, que se fusiona con el nervio lingual. | 5. Es una rama del V par craneal, que se fusiona con el nervio lingual.;4;--;NO;--;FACIL
ANATOMIA;MIR 1999-2000, P206;1. Neuroanatomía;¿Cuál de los siguientes músculos extraoculares NO se origina en el vértice de la órbita?:;1. Recto superior. | 2. Recto externo. | 3. Recto inferior. | 4. Oblicuo inferior. | 5. Oblicuo superior.;4;--;NO;--;FACIL
ANATOMIA;MIR 1995-96, P1001;1. Neuroanatomía;F, P 97. El músculo motor ocular externo está inervado por:;1. III par craneal. | 2. IV par craneal. | 3. VI par craneal. | 4. V par craneal. | 5. I par craneal.;3;--;NO;--;FACIL
ANATOMIA;MIR 1995-96, P164;1. Neuroanatomía;No poder cerrar con fuerza los ojos es un signo clínico que corresponde a la afectación del nervio:;1. Motor ocular común. | 2. Motor ocular externo. | 3. Facial. | 4. Primera rama del trigémino. | 5. Auriculotemporal.;3;--;NO;--;FACIL
ANATOMIA;MIR 2017-18, P34;2. Cuello;Pregunta vinculada a la imagen nº 34 De las siguientes estructuras óseas señale la apófisis odontoides:;1. 1 | 2. 2 | 3. 3 | 4. 4;3;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/2._Cuello/MIR_2017-18,_P34_p13_1.png | imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/2._Cuello/MIR_2017-18,_P34_p13_2.png;FACIL
ANATOMIA;MIR 2015-16, P3;2. Cuello;Pregunta vinculada a la imagen nº 3 Una paciente diagnosticada de bocio multinodular es sometida a una tiroidectomía total. La imagen muestra el campo quirúrgico al finalizar la intervención (lado izquierdo). ¿Cuál es la estructura señalada con la pinza quirúrgica?;1. Conducto torácico. | 2. Nervio laríngeo recurrente. | 3. Nervio vago. | 4. Nervio laríngeo superior.;2;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/2._Cuello/MIR_2015-16,_P3_p13_1.png | imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/2._Cuello/MIR_2015-16,_P3_p13_2.png;FACIL
ANATOMIA;MIR 2006-07, P238;2. Cuello;En la cirugía del tiroides es importante conocer que la irrigación de las glándulas paratiroides proviene fundamentalmente de la arteria:;1. Cervical ascendente. | 2. Cervical transversa. | 3. Tiroidea superior. | 4. Tiroidea inferior. | 5. Tiroidea media.;4;--;NO;--;FACIL
ANATOMIA;MIR 2004-05, P240;2. Cuello;El nervio laríngeo recurrente derecho, punto de referencia importante en la Cirugía de la glándula tiroides, pasa por debajo de una de las siguientes arterias:;1. Arteria cervical transversa. | 2. Arteria tiroidea superior. | 3. Arteria tiroidea ina. | 4. Arteria subclavia derecha. | 5. Arteria tiroidea inferior.;4;--;NO;--;FACIL
ANATOMIA;MIR 2003-04, P157;2. Cuello;En la anatomía de la primera vértebra cervical, uno de los siguientes componentes NO entra en su constitución:;1. Cuerpo. | 2. Tubérculo anterior. | 3. Arco posterior. | 4. Tubérculo posterior. | 5. Masas laterales.;1;--;NO;--;FACIL
ANATOMIA;MIR 2000-01, P239;2. Cuello;Señale la afirmación FALSA sobre la topografía del cuello:;1. Las cuerdas vocales verdaderas se sitúan craneales a las cuerdas vocales falsas. | 2. La tráquea se sitúa ventral al esófago y dorsal al istmo tiroideo. | 3. La epiglotis delimita la apertura laríngea y su posición varía en función de la posición lingual. | 4. El paquete vasculonervioso del cuello se sitúa profundo al músculo. | 5. El hioides se sitúa en la porción más craneal de la laringe.;ANULADA;--;SI;--;FACIL
ANATOMIA;MIR 2021-22, P61;3. Tórax;El conocimiento de la anatomía de la mama es fundamental a la hora de realizar intervenciones quirúrgicas en cirugía plástica. Señale cuál de los siguientes troncos nerviosos es el encargado en la mayoría de los casos de inervar el complejo areola-pezón:;1. Rama cutánea lateral del nervio intercostobraquial. | 2. Ramas cutáneas mediales del plexo cervical. | 3. Rama cutánea medial del nervio torácico largo. | 4. Rama cutánea lateral de los nervios intercostales.;4;--;NO;--;FACIL
ANATOMIA;MIR 2018-19, P1;3. Tórax;Pregunta vinculada a la imagen nº 1 Indique en qué localización se encuentra la lesión:;1. Bronquio principal derecho. | 2. Bronquio principal izquierdo. | 3. Bronquio lobar medio. | 4. Bronquio intermediario.;4;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/3._Torax/MIR_2018-19,_P1_p16_1.png;FACIL
ANATOMIA;MIR 2018-19, P36;3. Tórax;Al introducir un drenaje torácico por el tercer espacio intercostal-línea media clavicular como tratamiento del neumotórax espontáneo, ¿qué estructuras atravesará para conseguir la reexpansión pulmonar?;1. Piel - tejido subcutáneo-músculo dorsal ancho - musculatura intercostal-pleura visceral. | 2. Piel - tejido subcutáneo - músculo serrato lateral - musculatura intercostal - pleura parietal. | 3. Piel - tejido subcutáneo - musculatura pectoral - musculatura intercostal - pleura parietal. | 4. Piel - tejido subcutáneo - músculo infraespinoso - musculatura intercostal - pleura parietal.;3;--;NO;--;FACIL
ANATOMIA;MIR 2009-10, P14;3. Tórax;Pregunta vinculada a la imagen nº 7. ¿Dónde localizaría la lesión de la imagen?:;1. Lóbulo superior. | 2. Lóbulo medio. | 3. Lóbulo inferior. | 4. Pleura. | 5. Mediastino.;3;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/3._Torax/MIR_2009-10,_P14_p17_1.png;FACIL
ANATOMIA;MIR 2009-10, P225;3. Tórax;¿Qué grupo ganglionar recibe la mayor cuantía del flujo linfático de la mama?:;1. Ganglios paraesternales. | 2. Ganglios intercostales. | 3. Ganglios axilares. | 4. Ganglios diafragmáticos. | 5. Ganglios abdominales.;3;--;NO;--;FACIL
ANATOMIA;MIR 2007-08, P236;3. Tórax;Las siguientes estructuras desembocan en la aurícula derecha, EXCEPTO:;1. Vena cava superior. | 2. Vena cava inferior. | 3. Seno coronario. | 4. Vena pulmonar derecha. | 5. Venas cardiacas anteriores.;4;--;NO;--;FACIL
ANATOMIA;MIR 2007-08, P237;3. Tórax;En la cirugía del cáncer de esófago es importante conocer bien la anatomía esofágica. ¿Cuál de las siguientes afirmaciones es correcta?:;1. El esófago tiene capa mucosa, capa muscular y capa serosa. | 2. El esófago abdominal es más largo que el cervical. | 3. El diámetro máximo del esófago normal es de 5 cm. | 4. El esófago torácico pasa por detrás del cayado aórtico. | 5. El epitelio esofágico normal es cilíndrico.;4;--;NO;--;FACIL
ANATOMIA;MIR 2005-06, P239;3. Tórax;¿Cuántos bronquios segmentarios tiene cada pulmón?:;1. Diez cada uno. | 2. Doce el derecho y diez el izquierdo. | 3. Diez el derecho y ocho el izquierdo. | 4. Doce cada uno. | 5. Diez el derecho y nueve el izquierdo.;ANULADA;--;SI;--;FACIL
ANATOMIA;MIR 2005-06, P237;3. Tórax;¿Dónde desemboca el conducto torácico?:;1. En la aurícula derecha. | 2. En la vena cava superior. | 3. En la vena subclavia izquierda, en su confluencia con la vena yugular interna izquierda. | 4. En la vena yugular derecha. | 5. En el tronco venoso braquiocefálico derecho.;3;--;NO;--;FACIL
ANATOMIA;MIR 2005-06, P238;3. Tórax;Uno de los siguientes hiatos NO se encuentra en el diafragma:;1. Hiato de Bochdalek. | 2. Hiato esofágico. | 3. Hiato de Winslow. | 4. Hiato aórtico. | 5. Hiato de Mogagni.;3;--;NO;--;FACIL
ANATOMIA;MIR 2001-02, P239;3. Tórax;Señale la respuesta FALSA respecto a la circulación coronaria:;1. La arteria interventricular posterior es rama de la arteria coronaria derecha. | 2. La arteria coronaria derecha irriga el tabique interventricular. | 3. La arteria circunfleja es rama de la arteria coronaria izquierda. | 4. El nodo aurículo-ventricular está irrigado por una rama de la coronaria izquierda en la mayoría de los casos. | 5. Las arterias coronarias son ramas de la aorta ascendente.;4;--;NO;--;FACIL
ANATOMIA;MIR 2000-01, P1003;3. Tórax;F, P 207. Indique cuál de los siguientes elementos NO se sitúa en el mediastino posterior:;1. Aorta torácica descendente. | 2. Vena ácigos. | 3. Nervios esplácnicos. | 4. Vena cava superior. | 5. Conducto torácico.;4;--;NO;--;FACIL
ANATOMIA;MIR 2000-01, P1004;3. Tórax;F, P 210. Señale la afirmación FALSA con relación a la vascularización cardíaca:;1. El borde agudo del corazón está vascularizado por la arteria coronaria derecha. | 2. La arteria interventricular anterior o descendente anterior es rama de la arteria coronaria derecha. | 3. Las arterias coronarias son ramas de la aorta torácica ascendente. | 4. El tabique interventricular o septo está irrigado por las arterias coronarias derecha e izquierda. | 5. La arteria circunfleja auricular rama de la coronaria izquierda.;2;--;NO;--;FACIL
ANATOMIA;MIR 1999-2000, P1001;3. Tórax;F, P 248. Señale qué afirmación de las siguientes, relativas a la anatomía del pulmón, es correcta:;1. La anatomía normal de los bronquios no influye en la localización de las lesiones por aspiración. | 2. La división de los pulmones en segmentos no tiene ninguna aplicación en Radiología. | 3. La división de los pulmones en segmentos no tiene ninguna aplicación en la práctica de la cirugía. | 4. El bronquio principal derecho es más estrecho, en la mayoría de los casos, que el izquierdo. | 5. Los bronquios principales acompañan a las arterias pulmonares en los hilios pulmonares.;5;--;NO;--;FACIL
ANATOMIA;MIR 1999-2000, P1002;3. Tórax;F, P 250. Señale qué afirmación de las siguientes, relativas a la anatomía funcional de las costillas, es correcta:;1. Su punto más débil para fracturarse es el extremo próximo al esternón. | 2. La primera costilla es, generalmente, la más delgada de todas. | 3. La presencia de costilllas cervicales puede producir síntomas neurológicos. | 4. La presencia de costillas cervicales nunca produce síntomas vasculares. | 5. La elasticidad de la caja torácica no depende de los cartílagos costales.;3;--;NO;--;FACIL
ANATOMIA;MIR 1998-99, P1001;3. Tórax;F, P 233. Señale cuál de las siguientes afirmaciones sobre la anatomía funcional del corazón es FALSA:;1. El ápex del corazón se dirige hacia abajo, hacia delante y hacia la izquierda. | 2. Las cavidades derechas ocupan una posición anterior y derecha, respecto las izquierdas. | 3. Las aurículas contribuyen con su contracción al 15-25% del llenado ventricular. | 4. El tabique interauricular es muscular, excepto en su posición basal. | 5. En algunos individuos, la fosa oval permanece abierta, aun tras el nacimiento.;4;--;NO;--;FACIL
ANATOMIA;MIR 1998-99, P1002;3. Tórax;F, P 234. El conducto torácico desemboca en:;1. Arteria subclavia izquierda. | 2. Tronco braquiocefálico venoso izquierdo. | 3. Vena yugular anterior derecha. | 4. Vena yugular externa izquierda.;2;--;NO;--;FACIL
ANATOMIA;MIR 2020-21, P60;4. Abdomen;En cuanto a la anatomía de la pared abdominal en relación con la cirugía reconstructiva es FALSO que:;1. La inervación de los músculos rectos abdominales procede de nervios que discurren entre el músculo transverso abdominal y el músculo oblicuo interno. | 2. Tras la disección y rotación de un colgajo TRAM (transversus rectus abdominis musculus) se produce una debilidad de la pared abdominal especialmente por encima de la línea arcuata. | 3. La irrigación del músculo recto abdominal proviene principalmente de los vasos epigástricos inferiores y superiores profundos. | 4. El músculo recto abdominal puede utilizarse para reconstrucción de defectos mediastínicos.;2;--;NO;--;FACIL
ANATOMIA;MIR 2018-19, P37;4. Abdomen;Las ramas del nervio vago entran a la cavidad abdominal a través del:;1. Ligamento arqueado lateral. | 2. Hiato esofágico. | 3. Orificio de la vena cava inferior. | 4. Hiato aórtico.;2;--;NO;--;FACIL
ANATOMIA;MIR 2016-17, P3;4. Abdomen;Pregunta vinculada a la imagen nº 3 ¿Cuál de las siguientes corresponde a la arteria mesentérica superior?;1. 1 | 2. 2 | 3. 3 | 4. 4;2;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/4._Abdomen/MIR_2016-17,_P3_p22_1.png | imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/4._Abdomen/MIR_2016-17,_P3_p22_2.png;FACIL
ANATOMIA;MIR 2015-16, P4;4. Abdomen;Pregunta vinculada a la imagen nº4 Mujer de 65 años. Consulta por síndrome constitucional asociado a dolor abdominal epigástrico progresivo irradiado a espalda, de dos meses de evolución. El diagnóstico de sospecha de adenocarcinoma de páncreas se confirma por biopsia guiada por ecoendoscopia. Se realiza TC de abdomen tras administración de contraste intravenoso para valoración de estructuras vasculares próximas al tumor pancreático, a fin de establecer su posible afectación. (Ver imagen). ¿Qué estructura vascular está ausente, trombosada por infiltración tumoral, condicionando circulación colateral en la pared gástrica?;1. Vena mesentérica superior. | 2. Vena coronaria estomáquica. | 3. Vena esplénica. | 4. Vena porta.;3;--;NO;imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/4._Abdomen/MIR_2015-16,_P4_p23_1.png | imagenes/ANATOMIA_ordenadas_por_temas_(hasta_2025)/4._Abdomen/MIR_2015-16,_P4_p23_2.png;MEDIO
ANATOMIA;MIR 2014-15, P203;4. Abdomen;Revisando la angio-TC de un hombre de 70 años en estudio por aneurisma de aorta abdominal el radiólogo informa de la presencia de una oclusión completa de la arteria mesentérica inferior. El paciente se encuentra completamente asintomático. La oclusión de la arteria mesentérica inferior cursa de manera asintomática en muchas ocasiones ya que el territorio que irriga puede recibir flujo proveniente de:;1. La arteria cólica media. | 2. La arteria gastroduodenal. | 3. La arteria epigástrica inferior izquierda. | 4. La arteria esplénica. | 5. La arteria gastroepiploica.;1;--;NO;--;MEDIO
ANATOMIA;MIR 2012-13, P201;4. Abdomen;La vena porta está formada por la confluencia de varias venas. De las respuestas que se ofrecen ¿Cuál es la verdadera?;1. Vena mesentérica superior, vena gástrica izquierda y vena gastro-omental izquierda. | 2. Vena mesentérica inferior, vena gástrica izquierda y vena renal. | 3. Vena esplénica, vena mesentérica superior y vena mesentérica inferior. | 4. Vena esplénica, venas pancreato-duodenales y vena omental izquierda. | 5. Venas pancreato-duodenales, vena mesentérica superior y vena mesentérica inferior.;3;--;NO;--;FACIL
ANATOMIA;MIR 2008-09, P237;4. Abdomen;Indique cuál de las siguientes ramas arteriales no procede de la arteria aorta abdominal:;1. Tronco arterial celíaco. | 2. Arteria sacra media. | 3. Arteria diafragmática superior. | 4. Arteria renal derecha. | 5. Arteria gonadal derecha.;3;--;NO;--;FACIL
ANATOMIA;MIR 2008-09, P238;4. Abdomen;La arteria hemorroidal superior que irriga al recto es una rama de la arteria:;1. Ilíaca externa. | 2. Mesentérica inferior. | 3. Ilíaca interna. | 4. Mesentérica superior. | 5. Gastroepiploica inferior.;2;--;NO;--;FACIL
ANATOMIA;MIR 2007-08, P238;4. Abdomen;Existen anomalías anatómicas, pero habitualmente la arteria gastroepiploica izquierda es una rama directa de una de las siguientes arterias:;1. Mesentérica inferior. | 2. Mesentérica superior. | 3. Esplénica. | 4. Gástrica derecha. | 5. Gástrica izquierda.;3;--;NO;--;FACIL
ANATOMIA;MIR 2006-07, P236;4. Abdomen;A pesar de que puede haber variaciones anatómicas, lo habitual es que el ciego sea irrigado por una rama arterial que proviene de una de las siguientes arterias:;1. Ilíaca derecha. | 2. Mesentérica inferior. | 3. Hepática derecha. | 4. Mesentérica superior. | 5. Hemorroidal superior.;4;--;NO;--;FACIL
ANATOMIA;MIR 2005-06, P236;4. Abdomen;Es muy importante el conocimiento de las variaciones anatómicas de la arteria cística en la cirugía de la vesícula biliar. ¿Cuál es el origen más frecuente de la arteria cística?:;1. Arteria hepática derecha. | 2. Arteria hepática izquierda. | 3. Arteria hepática común. | 4. Tronco celíaco. | 5. Arteria mesentérica superior.;1;--;NO;--;FACIL
ANATOMIA;MIR 2004-05, P238;4. Abdomen;En relación con la disposición de los elementos vásculo-biliares en el ligamento hepatoduodenal, refiera cuál de las afirmaciones siguientes es la correcta:;1. La vena porta sigue un trayecto antero-medial con respecto a la arteria hepática. | 2. La arteria hepática derecha se divide en dos ramas que abrazan el conducto hepático derecho o el conducto cístico. | 3. La vía biliar principial es postero-lateral derecha con respecto a la vena porta. | 4. La arteria hepática izquierda nace de la arteria coronaria o de la arteria gastroduodenal. | 5. La vena coronaria confluye sobre la vena esplénica a unos 4 cm del tronco esplenomesentérico.;2;--;NO;--;FACIL
ANATOMIA;MIR 2004-05, P237;4. Abdomen;Las nefronas del riñón post-natal derivan del:;1. Pronefros. | 2. Mesonefros. | 3. Metanefros. | 4. Conducto de Wolff. | 5. Conducto de Müller.;3;--;NO;--;FACIL
ANATOMIA;MIR 2003-04, P154;4. Abdomen;El conducto biliar deriva del:;1. Ectodermo. | 2. Endodermo. | 3. Mesodermo. | 4. Mesénquima. | 5. Mesotelio.;2;--;NO;--;FACIL
ANATOMIA;MIR 2002-03, P131;4. Abdomen;Señale la información FALSA acerca de duodeno:;1. La segunda porción duodenal tiene una dirección vertical o descendente. | 2. Una pequeña porción del duodeno se sitúa retroperitonealmente. | 3. El ligamento hepatoduodenal se inserta en la primera porción duodenal. | 4. La cara posterior de la segunda porción duodenal se relaciona con el hilio renal y el músculo psoas iliaco entre otros. | 5. La arteria mesentérica superior está en relación con la tercera porción duodenal.;2;--;NO;--;FACIL
